Using Fixed-Point.
t=0.100, dt=0.1, MaxDpr=635.217, MaxDsw=0.00241096, Qo=346.53, Qw=0.00, Gauss=8
t=0.200, dt=0.1, MaxDpr=13.2336, MaxDsw=0.00202539, Qo=346.53, Qw=0.00, Gauss=21
t=0.300, dt=0.1, MaxDpr=9.62059, MaxDsw=0.00177516, Qo=346.53, Qw=0.00, Gauss=33
t=0.400, dt=0.1, MaxDpr=7.60948, MaxDsw=0.00159678, Qo=346.53, Qw=0.00, Gauss=44
t=0.500, dt=0.1, MaxDpr=6.32472, MaxDsw=0.00146166, Qo=346.53, Qw=0.00, Gauss=54
t=0.600, dt=0.1, MaxDpr=5.42982, MaxDsw=0.00135492, Qo=346.53, Qw=0.00, Gauss=64
t=0.700, dt=0.1, MaxDpr=4.76829, MaxDsw=0.00126791, Qo=346.53, Qw=0.00, Gauss=74
t=0.800, dt=0.1, MaxDpr=4.25785, MaxDsw=0.00119526, Qo=346.53, Qw=0.00, Gauss=83
t=0.900, dt=0.1, MaxDpr=3.85159, MaxDsw=0.00113347, Qo=346.53, Qw=0.00, Gauss=91
t=1.000, dt=0.1, MaxDpr=3.51963, MaxDsw=0.00108007, Qo=346.53, Qw=0.00, Gauss=99
t=1.100, dt=0.1, MaxDpr=3.24307, MaxDsw=0.00103334, Qo=346.53, Qw=0.00, Gauss=107
t=1.200, dt=0.1, MaxDpr=3.00884, MaxDsw=0.000992006, Qo=346.53, Qw=0.00, Gauss=115
t=1.300, dt=0.1, MaxDpr=2.80775, MaxDsw=0.000955108, Qo=346.53, Qw=0.00, Gauss=123
t=1.400, dt=0.1, MaxDpr=2.63308, MaxDsw=0.00092191, Qo=346.53, Qw=0.00, Gauss=131
t=1.500, dt=0.1, MaxDpr=2.47987, MaxDsw=0.000891837, Qo=346.53, Qw=0.00, Gauss=139
t=1.600, dt=0.1, MaxDpr=2.34431, MaxDsw=0.000864429, Qo=346.53, Qw=0.00, Gauss=147
t=1.700, dt=0.1, MaxDpr=2.22347, MaxDsw=0.000839316, Qo=346.53, Qw=0.00, Gauss=155
t=1.800, dt=0.1, MaxDpr=2.11503, MaxDsw=0.000816197, Qo=346.53, Qw=0.00, Gauss=163
t=1.900, dt=0.1, MaxDpr=2.01714, MaxDsw=0.000794822, Qo=346.53, Qw=0.00, Gauss=171
t=2.000, dt=0.1, MaxDpr=1.9283, MaxDsw=0.000774983, Qo=346.53, Qw=0.00, Gauss=179
t=2.100, dt=0.1, MaxDpr=1.8473, MaxDsw=0.000756505, Qo=346.53, Qw=0.00, Gauss=187
t=2.200, dt=0.1, MaxDpr=1.77313, MaxDsw=0.000739241, Qo=346.53, Qw=0.00, Gauss=195
t=2.300, dt=0.1, MaxDpr=1.70494, MaxDsw=0.000723063, Qo=346.53, Qw=0.00, Gauss=203
t=2.400, dt=0.1, MaxDpr=1.64203, MaxDsw=0.000707863, Qo=346.53, Qw=0.00, Gauss=211
t=2.500, dt=0.1, MaxDpr=1.58381, MaxDsw=0.000693546, Qo=346.53, Qw=0.00, Gauss=219
t=2.600, dt=0.1, MaxDpr=1.52975, MaxDsw=0.00068003, Qo=346.53, Qw=0.00, Gauss=227
t=2.700, dt=0.1, MaxDpr=1.47942, MaxDsw=0.000667243, Qo=346.53, Qw=0.00, Gauss=235
t=2.800, dt=0.1, MaxDpr=1.43246, MaxDsw=0.000655123, Qo=346.53, Qw=0.00, Gauss=243
t=2.900, dt=0.1, MaxDpr=1.38851, MaxDsw=0.000643613, Qo=346.53, Qw=0.00, Gauss=251
t=3.000, dt=0.1, MaxDpr=1.34737, MaxDsw=0.000632668, Qo=346.53, Qw=0.00, Gauss=258
t=3.100, dt=0.1, MaxDpr=1.3086, MaxDsw=0.000622236, Qo=346.53, Qw=0.00, Gauss=265
t=3.200, dt=0.1, MaxDpr=1.27217, MaxDsw=0.000612282, Qo=346.53, Qw=0.00, Gauss=272
t=3.300, dt=0.1, MaxDpr=1.23781, MaxDsw=0.00060277, Qo=346.53, Qw=0.00, Gauss=279
t=3.400, dt=0.1, MaxDpr=1.20535, MaxDsw=0.00059367, Qo=346.53, Qw=0.00, Gauss=286
t=3.500, dt=0.1, MaxDpr=1.17464, MaxDsw=0.000584951, Qo=346.53, Qw=0.00, Gauss=293
t=3.600, dt=0.1, MaxDpr=1.14555, MaxDsw=0.000576588, Qo=346.53, Qw=0.00, Gauss=300
